DoriC AC	RefSeq	Organsim	Taxonomy	Genome Length	oriC location	dnaA box number	dnaA location	The extremes of GC disparity
ORI10010111	NC_005966.1	Acinetobacter sp. ADP1	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Acinetobacter.	3598621 nt	3598158..200 nt	8	201..1598 nt	37 nt (minimum), 1846670 nt (maximum)
ORI10010112	NC_006055.1	Mesoplasma florum L1	Bacteria, Firmicutes, Mollicutes, Entomoplasmatales, Entomoplasmataceae, Mesoplasma.	793224 nt	792925..793224 nt	3	1..1332, 674029..674964 nt	792876 nt (minimum), 380244 nt (maximum)
ORI10010113	NC_006086.1	Streptococcus pyogenes MGAS10394	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1899877 nt	1558..1711 nt	3	202..1557 nt	1898054 nt (minimum), 901823 nt (maximum)
ORI10010114	NC_006086.1	Streptococcus pyogenes MGAS10394	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1899877 nt	1899877..201 nt	6	202..1557 nt	1898054 nt (minimum), 901823 nt (maximum)
ORI10010115	NC_006087.1	Leifsonia xyli subsp. xyli str. CTCB07	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Microbacteriaceae, Leifsonia.	2584158 nt	1647..2082 nt	4	225..1646 nt	2581522 nt (minimum), 1317292 nt (maximum)
ORI10010116	NC_006087.1	Leifsonia xyli subsp. xyli str. CTCB07	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Micrococcineae, Microbacteriaceae, Leifsonia.	2584158 nt	2583937..224 nt	5	225..1646 nt	2581522 nt (minimum), 1317292 nt (maximum)
ORI10010117	NC_006177.1	Symbiobacterium thermophilum IAM 14863	Bacteria, Actinobacteria, Symbiobacterium.	3566135 nt	1378..1599 nt	3	1..1377 nt	3566014 nt (minimum), 1875660 nt (maximum)
ORI10010118	NC_006177.1	Symbiobacterium thermophilum IAM 14863	Bacteria, Actinobacteria, Symbiobacterium.	3566135 nt	3565701..3566135 nt	4	1..1377 nt	3566014 nt (minimum), 1875660 nt (maximum)
ORI10010119	NC_006270.1	Bacillus licheniformis ATCC 14580	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4222334 nt	1848..2023 nt	3	507..1847 nt	300 nt (minimum), 2030798 nt (maximum)
ORI10010120	NC_006270.1	Bacillus licheniformis ATCC 14580	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4222334 nt	4222202..506 nt	8	507..1847 nt	300 nt (minimum), 2030798 nt (maximum)
ORI10010121	NC_006274.1	Bacillus cereus E33L	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5300915 nt	1749..1926 nt	4	408..1748 nt	5300905 nt (minimum), 2569728 nt (maximum)
ORI10010122	NC_006274.1	Bacillus cereus E33L	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5300915 nt	5300758..407 nt	9	408..1748 nt	5300905 nt (minimum), 2569728 nt (maximum)
ORI10010123	NC_006322.1	Bacillus licheniformis ATCC 14580	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4222645 nt	1652..1827 nt	3	311..1651 nt	104 nt (minimum), 2031648 nt (maximum)
ORI10010124	NC_006322.1	Bacillus licheniformis ATCC 14580	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4222645 nt	4222317..310 nt	8	311..1651 nt	104 nt (minimum), 2031648 nt (maximum)
ORI10010125	NC_006368.1	Legionella pneumophila str. Paris	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella.	3503610 nt	3503063..203 nt	4	204..1562 nt	3503409 nt (minimum), 1655240 nt (maximum)
ORI10010126	NC_006369.1	Legionella pneumophila str. Lens	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella.	3345687 nt	3345130..203 nt	4	204..1562 nt	1 nt (minimum), 1670908 nt (maximum)
ORI10010127	NC_006448.1	Streptococcus thermophilus LMG 18311	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1796846 nt	1551..1704 nt	5	186..1550, 1730568..1731545 nt	2469 nt (minimum), 911900 nt (maximum)
ORI10010128	NC_006448.1	Streptococcus thermophilus LMG 18311	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1796846 nt	1796793..185 nt	7	186..1550, 1730568..1731545 nt	2469 nt (minimum), 911900 nt (maximum)
ORI10010129	NC_006449.1	Streptococcus thermophilus CNRZ1066	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1796226 nt	1551..1704 nt	5	186..1550, 1732437..1733414 nt	2550 nt (minimum), 914023 nt (maximum)
ORI10010130	NC_006449.1	Streptococcus thermophilus CNRZ1066	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1796226 nt	1796173..185 nt	7	186..1550, 1732437..1733414 nt	2550 nt (minimum), 914023 nt (maximum)
ORI10010131	NC_006361.1	Nocardia farcinica IFM 10152	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Nocardiaceae, Nocardia.	6021225 nt	1990..2845 nt	3	1..1989 nt	52975 nt (minimum), 3161146 nt (maximum)
ORI10010132	NC_006361.1	Nocardia farcinica IFM 10152	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Nocardiaceae, Nocardia.	6021225 nt	6020624..6021225 nt	3	1..1989 nt	52975 nt (minimum), 3161146 nt (maximum)
ORI10010133	NC_006461.1	Thermus thermophilus HB8	Bacteria, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Thermus.	1849742 nt	1849496..54 nt	12	1848185..1849495 nt	1849737 nt (minimum), 924825 nt (maximum)
ORI10010134	NC_006510.1	Geobacillus kaustophilus HTA426	Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus.	3544776 nt	1441..1612 nt	3	88..1440 nt	3544632 nt (minimum), 1757376 nt (maximum)
ORI10010135	NC_006510.1	Geobacillus kaustophilus HTA426	Bacteria, Firmicutes, Bacillales, Bacillaceae, Geobacillus.	3544776 nt	3544386..87 nt	11	88..1440 nt	3544632 nt (minimum), 1757376 nt (maximum)
ORI10010136	NC_006512.1	Idiomarina loihiensis L2TR	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Idiomarinaceae, Idiomarina.	2839318 nt	2839275..361 nt	3	362..1726 nt	2830233 nt (minimum), 690307 nt (maximum)
ORI10010137	NC_006570.1	Francisella tularensis subsp. tularensis Schu 4	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella.	1892819 nt	1892387..1892819 nt	4	1..1521 nt	10 nt (minimum), 950595 nt (maximum)
ORI10010138	NC_006582.1	Bacillus clausii KSM-K16	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4303871 nt	1539..1707 nt	3	183..1538 nt	4303709 nt (minimum), 2097394 nt (maximum)
ORI10010139	NC_006582.1	Bacillus clausii KSM-K16	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus.	4303871 nt	4303524..182 nt	7	183..1538 nt	4303709 nt (minimum), 2097394 nt (maximum)
ORI10010140	NC_006814.1	Lactobacillus acidophilus NCFM	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1993564 nt	1993119..30 nt	7	31..1398, 24511..25452, 475046..476128 nt	358 nt (minimum), 1106530 nt (maximum)
ORI10010141	NC_006958.1	Corynebacterium glutamicum ATCC 13032	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	3282708 nt	1576..2291 nt*	8	1..1575 nt	3279495 nt (minimum), 1564604 nt (maximum)
ORI10010142	NC_007005.1	Pseudomonas syringae pv. syringae B728a	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	6093698 nt	6093115..6093698 nt	5	1..1536 nt	6085927 nt (minimum), 3242190 nt (maximum)
ORI10010143	NC_007164.1	Corynebacterium jeikeium K411	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2462499 nt	1753..2368 nt	6	1..1752 nt	2462499 nt (minimum), 1169033 nt (maximum)
ORI10010144	NC_007164.1	Corynebacterium jeikeium K411	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Corynebacterineae, Corynebacteriaceae, Corynebacterium.	2462499 nt	2461793..2462499 nt	6	1..1752 nt	2462499 nt (minimum), 1169033 nt (maximum)
ORI10010145	NC_007168.1	Staphylococcus haemolyticus JCSC1435	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2685015 nt	1864..2163 nt	4	508..1863 nt	2654 nt (minimum), 1549900 nt (maximum)
ORI10010146	NC_007168.1	Staphylococcus haemolyticus JCSC1435	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2685015 nt	2684845..507 nt	9	508..1863 nt	2654 nt (minimum), 1549900 nt (maximum)
ORI10010147	NC_007204.1	Psychrobacter arcticus 273-4	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter.	2650701 nt	2650553..519 nt	8	520..1965 nt	334 nt (minimum), 1336682 nt (maximum)
ORI10010148	NC_007296.1	Streptococcus pyogenes MGAS6180	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1897573 nt	1558..1711 nt	3	202..1557 nt	1895720 nt (minimum), 899676 nt (maximum)
ORI10010149	NC_007296.1	Streptococcus pyogenes MGAS6180	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1897573 nt	1897543..201 nt	7	202..1557 nt	1895720 nt (minimum), 899676 nt (maximum)
ORI10010150	NC_007297.1	Streptococcus pyogenes MGAS5005	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1838554 nt	1558..1711 nt	3	202..1557 nt	1836701 nt (minimum), 897253 nt (maximum)
ORI10010151	NC_007297.1	Streptococcus pyogenes MGAS5005	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1838554 nt	1838524..201 nt	7	202..1557 nt	1836701 nt (minimum), 897253 nt (maximum)
ORI10010152	NC_007298.1	Dechloromonas aromatica RCB	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Rhodocyclaceae, Dechloromonas.	4501104 nt	1549..1757 nt	3	151..1548 nt	4911 nt (minimum), 2186548 nt (maximum)
ORI10010153	NC_007333.1	Thermobifida fusca YX	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptosporangineae, Nocardiopsaceae, Thermobifida.	3642249 nt	2043..2823 nt	11	195..2042 nt	1829513 nt (minimum), 1137954 nt (maximum)
ORI10010154	NC_007333.1	Thermobifida fusca YX	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Streptosporangineae, Nocardiopsaceae, Thermobifida.	3642249 nt	3641656..194 nt	9	195..2042 nt	1829513 nt (minimum), 1137954 nt (maximum)
ORI10010155	NC_007347.1	Ralstonia eutropha JMP134 chromosome 1	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Cupriavidus.	3806533 nt	3805996..183 nt	3	184..2019 nt	3727855 nt (minimum), 1820055 nt (maximum)
ORI10010156	NC_007350.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2516575 nt	1877..2123 nt	3	509..1876, 1705181..1706119 nt	264 nt (minimum), 1388387 nt (maximum)
ORI10010157	NC_007350.1	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2516575 nt	2516353..508 nt	10	509..1876, 1705181..1706119 nt	264 nt (minimum), 1388387 nt (maximum)
ORI10010158	NC_007356.1	Dehalococcoides sp. CBDB1	Bacteria, Chloroflexi, Dehalococcoidetes, Dehalococcoides.	1395502 nt	1596..1925 nt	5	261..1595 nt	1719 nt (minimum), 696136 nt (maximum)
ORI10010159	NC_007413.1	Anabaena variabilis ATCC 29413	Bacteria, Cyanobacteria, Nostocales, Nostocaceae, Anabaena.	6365727 nt	1502..1918 nt	6	119..1501 nt	489657 nt (minimum), 5853149 nt (maximum)
ORI10010160	NC_007432.1	Streptococcus agalactiae A909	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2127839 nt	1463..1616 nt	3	101..1462 nt	440 nt (minimum), 1048406 nt (maximum)
ORI10010161	NC_007432.1	Streptococcus agalactiae A909	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	2127839 nt	2127732..100 nt	5	101..1462 nt	440 nt (minimum), 1048406 nt (maximum)
ORI10010162	NC_007484.1	Nitrosococcus oceani ATCC 19707	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Nitrosococcus.	3481691 nt	1525..2395 nt	9	175..1524, 1294620..1295318 nt	3481525 nt (minimum), 1849809 nt (maximum)
ORI10010163	NC_007492.1	Pseudomonas fluorescens PfO-1	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	6438405 nt	6438251..564 nt	6	565..2088 nt	6428125 nt (minimum), 3150811 nt (maximum)
ORI10010164	NC_007503.1	Carboxydothermus hydrogenoformans Z-2901	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Carboxydothermus.	2401520 nt	2399734..2399936 nt	4	2399937..2401301 nt	2399554 nt (minimum), 1219160 nt (maximum)
ORI10010165	NC_007503.1	Carboxydothermus hydrogenoformans Z-2901	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Carboxydothermus.	2401520 nt	2401302..224 nt	6	2399937..2401301 nt	2399554 nt (minimum), 1219160 nt (maximum)
ORI10010166	NC_007512.1	Pelodictyon luteolum DSM 273	Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Pelodictyon.	2364842 nt	2362910..2363372 nt	3	2363373..2364842 nt	2364611 nt (minimum), 1199892 nt (maximum)
ORI10010167	NC_007514.1	Chlorobium chlorochromatii CaD3	Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Chlorobium.	2572079 nt	1825..2112 nt	3	346..1824 nt	7930 nt (minimum), 1119637 nt (maximum)
ORI10010168	NC_007514.1	Chlorobium chlorochromatii CaD3	Bacteria, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Chlorobium.	2572079 nt	2571845..345 nt	6	346..1824 nt	7930 nt (minimum), 1119637 nt (maximum)
ORI10010169	NC_007517.1	Geobacter metallireducens GS-15	Bacteria, Proteobacteria, Deltaproteobacteria, Desulfuromonadales, Geobacteraceae, Geobacter.	3997420 nt	3997401..260 nt	3	261..1613, 820657..821388 nt	3995029 nt (minimum), 2045466 nt (maximum)
ORI10010170	NC_007520.1	Thiomicrospira crunogena XCL-2	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Thiomicrospira.	2427734 nt	2427456..68 nt	3	69..1472, 1125539..1126252 nt	60007 nt (minimum), 1313563 nt (maximum)
ORI10010171	NC_007530.1	Bacillus anthracis str. 'Ames Ancestor'	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5227419 nt	1748..1925 nt	4	407..1747 nt	5227409 nt (minimum), 2506669 nt (maximum)
ORI10010172	NC_007530.1	Bacillus anthracis str. 'Ames Ancestor'	Bacteria, Firmicutes, Bacillales, Bacillaceae, Bacillus, Bacillus cereus group.	5227419 nt	5227262..406 nt	9	407..1747 nt	5227409 nt (minimum), 2506669 nt (maximum)
ORI10010173	NC_007575.1	Thiomicrospira denitrificans ATCC 33889	Bacteria, Proteobacteria, Epsilonproteobacteria, Campylobacterales, Helicobacteraceae.	2201561 nt	2201475..14 nt	3	15..1322 nt	328 nt (minimum), 1135413 nt (maximum)
ORI10010174	NC_007576.1	Lactobacillus sakei subsp. sakei 23K	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1884661 nt	1557..1733 nt	3	210..1556 nt	1884537 nt (minimum), 917048 nt (maximum)
ORI10010175	NC_007576.1	Lactobacillus sakei subsp. sakei 23K	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1884661 nt	1884300..209 nt	10	210..1556 nt	1884537 nt (minimum), 917048 nt (maximum)
ORI10010176	NC_007622.1	Staphylococcus aureus RF122	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2742531 nt	1879..2155 nt	4	517..1878 nt	270 nt (minimum), 1372628 nt (maximum)
ORI10010177	NC_007622.1	Staphylococcus aureus RF122	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2742531 nt	2742318..516 nt	9	517..1878 nt	270 nt (minimum), 1372628 nt (maximum)
ORI10010178	NC_007633.1	Mycoplasma capricolum subsp. capricolum ATCC 27343	Bacteria, Firmicutes, Mollicutes, Mycoplasmataceae, Mycoplasma.	1010023 nt	1009729..1010023 nt	3	1..1353 nt	34 nt (minimum), 536071 nt (maximum)
ORI10010179	NC_007645.1	Hahella chejuensis KCTC 2396	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Hahellaceae, Hahella.	7215267 nt	7214961..377 nt*	5	378..1781 nt	7212881 nt (minimum), 3438285 nt (maximum)
ORI10010180	NC_007777.1	Frankia sp. CcI3	Bacteria, Actinobacteria, Actinobacteridae, Actinomycetales, Frankineae, Frankiaceae, Frankia.	5433628 nt	1724..2487 nt	6	35..1723 nt	35247 nt (minimum), 2755407 nt (maximum)
ORI10010181	NC_007793.1	Staphylococcus aureus subsp. aureus USA300	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2872769 nt	1906..2182 nt	4	544..1905 nt	2872754 nt (minimum), 1424846 nt (maximum)
ORI10010182	NC_007793.1	Staphylococcus aureus subsp. aureus USA300	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2872769 nt	2872583..543 nt	9	544..1905 nt	2872754 nt (minimum), 1424846 nt (maximum)
ORI10010183	NC_007795.1	Staphylococcus aureus subsp. aureus NCTC 8325	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2821361 nt	1879..2155 nt	4	517..1878 nt	2821355 nt (minimum), 1344870 nt (maximum)
ORI10010184	NC_007795.1	Staphylococcus aureus subsp. aureus NCTC 8325	Bacteria, Firmicutes, Bacillales, Staphylococcus.	2821361 nt	2821148..516 nt	9	517..1878 nt	2821355 nt (minimum), 1344870 nt (maximum)
ORI10010185	NC_007880.1	Francisella tularensis subsp. holarctica	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella.	1895994 nt	1895784..274 nt	4	275..1750 nt	99585 nt (minimum), 1211594 nt (maximum)
ORI10010186	NC_007907.1	Desulfitobacterium hafniense Y51	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfitobacterium.	5727534 nt	1351..1551 nt	3	1..1350 nt	5727459 nt (minimum), 1827860 nt (maximum)
ORI10010187	NC_007907.1	Desulfitobacterium hafniense Y51	Bacteria, Firmicutes, Clostridia, Clostridiales, Peptococcaceae, Desulfitobacterium.	5727534 nt	5727180..5727534 nt	7	1..1350 nt	5727459 nt (minimum), 1827860 nt (maximum)
ORI10010188	NC_007929.1	Lactobacillus salivarius subsp. salivarius UCC118	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1827111 nt	1366..1531 nt	3	1..1365 nt	2619 nt (minimum), 905487 nt (maximum)
ORI10010189	NC_007929.1	Lactobacillus salivarius subsp. salivarius UCC118	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1827111 nt	1826625..1827111 nt	4	1..1365 nt	2619 nt (minimum), 905487 nt (maximum)
ORI10010190	NC_007954.1	Shewanella denitrificans OS217	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Shewanellaceae, Shewanella.	4545906 nt	4545452..9 nt	3	10..1398 nt	4531399 nt (minimum), 2174701 nt (maximum)
ORI10010191	NC_007963.1	Chromohalobacter salexigens DSM 3043	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Chromohalobacter.	3696649 nt	3696504..92 nt	4	93..1580 nt	177 nt (minimum), 2132014 nt (maximum)
ORI20010192	NC_007969.1	Psychrobacter cryohalolentis K5	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Psychrobacter.	3059876 nt	709..1364 nt	8	1365..2810 nt	297 nt (minimum), 1671720 nt (maximum)
ORI20010193	NC_008009.1	Acidobacteria bacterium Ellin345	Bacteria, Acidobacteria, Acidobacteriales, Acidobacteriaceae.	5650368 nt	1419..1810 nt	3	33..1418 nt	687058 nt (minimum), 2946282 nt (maximum)
ORI20010194	NC_008021.1	Streptococcus pyogenes MGAS9429	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1836467 nt	1558..1711 nt	3	202..1557 nt	2793 nt (minimum), 968906 nt (maximum)
ORI20010195	NC_008021.1	Streptococcus pyogenes MGAS9429	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1836467 nt	1836437..201 nt	7	202..1557 nt	2793 nt (minimum), 968906 nt (maximum)
ORI20010196	NC_008022.1	Streptococcus pyogenes MGAS10270	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1928252 nt	1558..1711 nt	3	202..1557 nt	2793 nt (minimum), 972073 nt (maximum)
ORI20010197	NC_008022.1	Streptococcus pyogenes MGAS10270	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1928252 nt	1928222..201 nt	7	202..1557 nt	2793 nt (minimum), 972073 nt (maximum)
ORI20010198	NC_008023.1	Streptococcus pyogenes MGAS2096	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1860355 nt	1558..1711 nt	3	202..1557 nt	2793 nt (minimum), 929674 nt (maximum)
ORI20010199	NC_008023.1	Streptococcus pyogenes MGAS2096	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1860355 nt	1860325..201 nt	7	202..1557 nt	2793 nt (minimum), 929674 nt (maximum)
ORI20010200	NC_008024.1	Streptococcus pyogenes MGAS10750	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1937111 nt	1558..1711 nt	3	202..1557 nt	2793 nt (minimum), 1003250 nt (maximum)
ORI20010201	NC_008024.1	Streptococcus pyogenes MGAS10750	Bacteria, Firmicutes, Lactobacillales, Streptococcaceae, Streptococcus.	1937111 nt	1937081..201 nt	7	202..1557 nt	2793 nt (minimum), 1003250 nt (maximum)
ORI20010202	NC_008025.1	Deinococcus geothermalis DSM 11300	Bacteria, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus.	2467205 nt	1635..2024 nt	12	222..1634 nt	2466979 nt (minimum), 1388495 nt (maximum)
ORI20010203	NC_008027.1	Pseudomonas entomophila L48	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas.	5888780 nt	5888750..551 nt	7	552..2078 nt	10283 nt (minimum), 2908465 nt (maximum)
ORI20010204	NC_008054.1	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	Bacteria, Firmicutes, Lactobacillales, Lactobacillaceae, Lactobacillus.	1864998 nt	1864846..322 nt	6	323..1687 nt	1851504 nt (minimum), 946825 nt (maximum)
